index,User,Video Title,Comment (Actual),Comment Author Counts,Comment Seg,Polarity,Comment Length,Worth Word Ratio,PCA1,PCA2,PCA3
121535,Physics Girl,An Update On Dianna's Health,What's up with the smart nerdy cute girls having Medical things wrong with them can we just stop that science get on it already,5,what smart nerdi cute girl medic thing wrong stop scienc get alreadi,0.792,25,0.4,-0.89507113,0.57693842,0.48390264
291071,Physics Girl,The Projector Illusion |  EVERYDAY MYSTERIES,This is awesome,6,awesom,1.0,3,0.667,3.37810307,0.03579515,0.3042515
258408,Physics Girl,World’s Largest Camera Lens,Nice video 👍🏻 I can’t wait 😄😄,1,nice video cant wait,1.0,9,0.667,1.40855823,1.23425449,-0.15432857
59306,neo,How the CIA Found Osama bin Laden,We Indians 🇮🇳 have been saying for decades that Pakistan 🇵🇰 is unofficial capital of World Terr**ism and US 🇺🇸  was like That's ok,3,indian say decad pakistan unoffici capit world terrism us like that ok,1.0,28,0.536,-0.84829909,0.01235237,-0.36083519
348296,Physics Girl,Everything you should know about TRAPPIST-1 exoplanets,She's super beautiful,5,she super beauti,1.0,4,0.5,0.73965594,-0.21083527,-0.55680065
277809,Physics Girl,Singing this Note is IMPOSSIBLE!,I recently built an instrument out of PVC pipe and also discovered that the fundamental frequency could have been affected by total harmonic distortion. Would that be true?,1,recent built instrument pvc pipe also discov fundament frequenc could affect total harmon distort would true,0.949,28,0.393,-1.36866234,0.02367044,0.09146284
98537,neo,Why Saudi Arabia Is Building a Linear City,"wanna live in saudi arabia!?
no thank u",1,wan na live saudi arabia thank u,0.78,9,0.667,0.57622664,0.25421798,-0.07604868
253311,Physics Girl,Why This Stuff Costs $2700 Trillion Per Gram - Antimatter at CERN,"awesome, another discovery in science for sociopaths and psychopaths to make a doomsday weapon  Human beings are not wise enough to leave somethings alone. Until we can deal with sociopaths and psychopaths, we really should be much more  careful in the things we discover. Hope I'm dead long before humanity allows this to become a potential weapon.",1,awesom anoth discoveri scienc sociopath psychopath make doomsday weapon human be wise enough leav someth alon deal sociopath psychopath realli much care thing discov hope im dead long human allow becom potenti weapon,0.747,60,0.367,-1.57861402,0.463146,-0.39468653
214021,Physics Girl,This result could change physics forever,your excitement is infectious.,7,excit infecti,1.0,4,0.5,1.02629216,0.60016993,-0.43677631
44345,Jet Lag: The Game,We Played a 72 Hour Game of Tag Across Europe,I make wind turbines if you have a question just ask me,1,make wind turbin question ask,1.0,12,0.333,0.24528567,-1.05137803,0.16700502
70229,neo,What Happens to Plastic in the Ocean?,Theres also a garbage patch in DC on the East coast and in California on the West coast....😂,1,there also garbag patch dc east coast california west coast,1.0,20,0.7,-0.12365247,0.08834052,0.29104297
343347,Physics Girl,Oxygen is MAGNETIC?!,Your strange,7,strang,0.357,2,0.5,2.65174871,0.48868677,0.40658695
339355,Physics Girl,SPOOL RIDDLE - Which way will it roll?,I'd like to see Elon Musk as the victim of the next riddle 😎,5,id like see elon musk victim next riddl,0.865,15,0.533,-0.41127615,0.01654905,0.11114869
114256,Physics Girl,An Update On Dianna's Health,"This is so heart breaking. Though we dont know her personally, her videos are so much fun, high energy, and very informative that it feels like were friends.

prayers for her to get better. And to all those who goes thru this. 🙏🏻🙏🏻🙏🏻",1,heart break though dont know person video much fun high energi inform feel like friend prayer get better goe thru,1.0,46,0.326,-1.01470823,0.79808587,-0.44567025
302940,Physics Girl,Why this trick should be IMPOSSIBLE ft. Rodney Mullen - Skateboarding Science,I wish i could meet a girl like you someday,1,wish could meet girl like someday,1.0,10,0.3,0.45724115,0.35508901,-0.20313587
263117,Physics Girl,The Surprising Ways Mars is Hostile to Life,HOLD ON A SECOND HERE!!!! if the atmosphere is 95 percent CO2 why is it cold there. What about the greenhouse effect that they are trying to shill on earth????,1,hold second atmospher 95 percent co2 cold greenhous effect tri shill earth,1.0,30,0.4,-1.12754369,-0.41816984,0.12015664
25303,Cleo Abram,Why you can't just screenshot an NFT,"oh wow 120000$ for a banana taped to a wall WOW!!! imo, it's a waste of money that could be allocated to poorer countries to help them transitioned to greener energy or for reducing waste dumped into the environment..",1,oh wow 120000 banana tape wall wow imo wast money could alloc poorer countri help transit greener energi reduc wast dump environ,0.795,43,0.349,-1.34128179,-0.00141919,-0.04930651
307312,Physics Girl,The Most MYSTERIOUS Object in the Universe,2:36,7,236,1.0,1,0.0,4.02716136,0.73131638,-0.15920225
283977,Physics Girl,How Fluid Can Climb Upward! SLIME EXPERIMENT,"Shower gel is a shear thinning fluid. It's also non newtonian, but its behavior is the opposite of a shear thickening fluid: as shear stress increases, viscosity decreases.",4,shower gel shear thin fluid also non newtonian behavior opposit shear thicken fluid shear stress increas viscos decreas,0.871,32,0.625,-0.83289447,0.49855189,0.37691507
204423,Physics Girl,World's Only Moving Mud Puddle,Idk why but this is terrifying,1,idk terrifi,0.39,6,0.333,1.47815747,-0.71622938,-0.00603337
296317,Physics Girl,Can You Solve this Ice Diamond Riddle? ft. Vsauce’s Michael Stevens,"So I think the ice cube will sink and raise the water level. Then, as it melts, the level will drop because frozen water has a greater volume than room temerature water.",1,think ice cube sink rais water level melt level drop frozen water greater volum room temeratur water,0.936,34,0.471,-1.48241824,-0.31940612,0.05182621
346159,Physics Girl,Why Hawaii's volcano is so UNUSUAL,incel watch this and time their jizz with the volcano,1,incel watch time jizz volcano,1.0,10,0.7,0.92331218,0.23841347,0.34750965
372899,Physics Girl,Quantum Cryptography Explained,"I'm taking my undergrad thesis right now, my topic is about Quantum Computing. and I don't know specifically what will I do about this topic to make it a thesis. Help me!!!",1,im take undergrad thesi right topic quantum comput dont know specif topic make thesi help,1.0,35,0.257,-0.88805632,0.39496338,-0.17104888
145383,Physics Girl,"After 15,000 years, it's waking up","I think it's pretty safe to assume Russia has built something like this in the cold war, so probably not the only permafrost tunnel :D",2,think pretti safe assum russia built someth like cold war probabl permafrost tunnel,0.89,28,0.464,-1.31526726,-0.21924256,-0.00721168
5081,Cleo Abram,"F1, explained in 60 sec",I-D-I-O-C-R-A-C-Y,1,idiocraci,1.0,1,1.0,0.56024483,0.78593118,-0.20167888
205382,Physics Girl,World's Only Moving Mud Puddle,Could they just fill the hole with tons of corn starch and make it more vicious?,1,could fill hole ton corn starch make viciou,0.843,16,0.438,-0.97627606,-0.0136018,0.40834257
30608,Jet Lag: The Game,We Raced To Visit The Most US States In 100 Hrs - Finale,I would love to see this in Canada! Only 13! 4 are hard to get to and 3 of those are large! It would be a battle!,1,would love see canada 13 4 hard get 3 larg would battl,0.864,27,0.259,-0.78952162,-0.30565667,0.22959982
157126,Physics Girl,99 Years Later... We Solved It,Dang!  It's not aliens?  Bummer,1,dang alien bummer,1.0,6,0.5,1.15746373,0.32850944,0.85503558
46304,Jet Lag: The Game,Day 5 - We Raced To Circumnavigate the Globe in 100 Hours,Feel like they really could have just completed challenges in singapore instead of faffing about to at least screw over the other two.,10,feel like realli could complet challeng singapor instead faf least screw two,0.944,23,0.304,-0.81778361,0.20701653,-0.12654303
77665,neo,What Does the Moon Landing Site Look Like Today?,They spent almost 24hrs walking on the moon in 1 stretch? That’s crazy,3,spent almost 24hr walk moon 1 stretch that crazi,0.821,15,0.4,0.30408361,-0.32299194,-0.18310706
173016,Physics Girl,It's Official: We Were WRONG About the Big Bang,"""Professing to be wise, they became fools"" - Romans 1:22",2,profess wise becam fool roman 122,0.759,13,0.077,-0.34044021,-0.70930644,-0.36469313
134618,Physics Girl,I dove in a NUCLEAR SUBMARINE (Frozen Ocean),Omg this is the coolest one yet!,2,omg coolest one yet,1.0,7,0.429,1.60390477,0.18640059,-0.25526267
294390,Physics Girl,Ice Diamond Riddle SOLUTION ft. Vsauce's Michael Stevens,by looking at the colour and luminosity of the star (the luminosity could be found by using the measured intensity and standard candles) you could then just refer to a hertzsprung russell diagram to find the temperature of the star once you have settled on the star type? or you could use the boltzmann saha equation if you know the distance to the star from looking at standard candles to find the temperature.,1,look colour luminos star luminos could found use measur intens standard candl could refer hertzsprung russel diagram find temperatur star settl star type could use boltzmann saha equat know distanc star look standard candl find temperatur,1.0,75,0.453,-1.17366391,0.57758339,0.45175162
228299,Physics Girl,Unique at-home Science Experiments! with Physics Girl,"Duck Tape also works like the band-aids, along with mints when you crush them with pliers.",3,duck tape also work like bandaid along mint crush plier,0.912,17,0.353,-0.69161175,-0.44872293,0.56630014
229146,Physics Girl,"""Of course it's scary."" - Candid Interview with COVID-19 ER Nurse and Epidemiologist","Hey diana ,
I am suffering from myopia
But internet says pin hole glasses can help with myopia
So, Can you make a vedio about   *PIN HOLE GLASSES*😄😄",1,hey diana suffer myopia internet say pin hole glass help myopia make vedio pin hole glass,0.928,32,0.5,-0.99708837,0.77687956,0.12121622
300088,Physics Girl,Why this trick should be IMPOSSIBLE ft. Rodney Mullen - Skateboarding Science,"Such a rad legend, he is the best..",1,rad legend best,1.0,10,0.7,3.7099197,1.03519122,0.7357305
14634,Cleo Abram,Space doesn't look like that,An Artistic representation. CGI.,1,artist represent cgi,1.0,4,1.0,1.62150252,-0.46400881,-0.16048122
352429,Physics Girl,The Boat/Rock Brainteaser ft Simone Giertz part 2/3,"If a rock was the size of a grain of sand but weighted as much as a car the. Pat would displace a lot of water but if the rock was in the water it's volume is very small and so the boat would move up and the water would go down. 
if the rock was the size of an elephant and as light as a feather then the water would have to go down because the boat would be the only thing to move and by a very small amount the rock would sit on the surface of the water meaning no movement in water

Thus wether I'm right or wrong I think it would go down",1,rock size grain sand weight much car pat would displac lot water rock water volum small boat would move water would go rock size eleph light feather water would go boat would thing move small amount rock would sit surfac water mean movement water thu wether im right wrong think would go,0.94,120,0.475,-1.60782239,-0.65919464,-0.01040135
319404,Physics Girl,Only some humans can see this type of light,so you say the earth is flat ?,2,say earth flat,1.0,7,0.429,1.96702503,-0.92667169,-0.12893747
144035,Physics Girl,"After 15,000 years, it's waking up","So this is where they got the idea for the PC video game... "" Back 4  Blood"" on the Steam online PC video gaming internet website.",1,got idea pc video game back 4 blood steam onlin pc video game internet websit,1.0,28,0.536,-0.87048014,0.59213131,0.72291047
286950,Physics Girl,Bowl Riddle Solution (Plus 2 BONUS riddles) ft. Kurt Hugo Schneider part 2/3,"Blowing air bubbles, via hose or straw, under the ball will cause the water just below the ball to be displaced thus allowing (causing) the ball to drop/sink.",1,blow air bubbl via hose straw ball caus water ball displac thu allow caus ball dropsink,1.0,32,0.406,-1.1139746,-0.34637817,0.60598194
369766,Physics Girl,Could you replace your eye with a camera?,"Hey I love your videos, they're all very informative and fun.
However, WHY did you have to say '...the five senses that the rest of humans have.""
Humans have FAR MORE than fives senses... Come on science girl, you should know this..  :/",3,hey love video theyr inform fun howev say five sens rest human human far five sens come scienc girl know,0.951,53,0.396,-1.15042613,0.8479057,-0.4041133
9137,Cleo Abram,How Zero G Planes Really Work,"""You remember Parabolas from math class""
Lady I got all F's and no future, no I don't 😭",1,rememb parabola math class ladi got fs futur dont,0.747,23,0.391,-0.70295349,-4.904e-05,-0.21839736
61582,neo,Which Building Is Taller?,Sears tower will always be my largest building of the world 1998-2001,1,sear tower alway largest build world 19982001,1.0,12,0.583,-0.49907038,0.43825969,0.43346927
8671,Cleo Abram,Why AI art is so controversial,"I think the person who types in the text is the artist, even though the AI Created the art it is the person imagination inspired the art, there for this AI are like art tools, but a better one.",2,think person type text artist even though ai creat art person imagin inspir art ai like art tool better one,1.0,42,0.5,-1.1211417,0.40586598,-0.23075948
229980,Physics Girl,Ballistic Ping Pong Ball vs. Tennis Ball at 450km/h!,"I learned that I'm going to make a vacuum cannon today, lol.  Thanks!",9,learn im go make vacuum cannon today lol thank,1.0,15,0.4,0.19373875,0.02532641,-0.24858472
69008,neo,What Happens to Plastic in the Ocean?,The waffle house has found its new host,1,waffl hous found new host,1.0,8,0.625,0.00745801,-0.28282159,0.17614841
180582,Physics Girl,We can see things moving faster than light,"Aha 3M. Yeah very familiar with a lot of their stuff, Since i work within the automotive painting industry, I work with a lot of their products.",4,aha 3m yeah familiar lot stuff sinc work within automot paint industri work lot product,1.0,29,0.448,-1.2166946,-0.39630026,0.09547516
131391,Physics Girl,Long COVID update - Physics Girl (Dianna Cowern),"Dear Dianna,
I wish you very well!",43,dear dianna wish well,1.0,8,0.25,1.81318273,0.4023771,0.06041006
330114,Physics Girl,Can you solve the MAGNET RIDDLE? ft YouTube CEO Susan Wojcicki,"To answer the second riddle you can, for example, take a plate of a non ferromagnetic metal (copper for ex.) and try to move the two pieces of iron above it: if the magnet is strong enough you should fell a force opposite to your movement; an other way to know whitch one is magnetic is to drop them in a copper pipe and for the same reason the magnetic bar should fall slower.",1,answer second riddl exampl take plate non ferromagnet metal copper ex tri move two piec iron magnet strong enough fell forc opposit movement way know whitch one magnet drop copper pipe reason magnet bar fall slower,0.971,80,0.45,-1.78447582,0.16664114,-0.01956367
47906,Jet Lag: The Game,Day 2 - We Raced To Circumnavigate The Globe In 100 Hours,"Oh, it's super dangerous. Would you like me to do it?",7,oh super danger would like,0.823,13,0.154,1.14918392,-0.534143,0.32578451
40620,Jet Lag: The Game,Playing a 72 Hr Game of Tag Across Europe - Ep 4,Ben and I had the same population guess of 60k 😂,1,ben popul guess 60k,1.0,11,0.545,0.12739506,-0.69392145,0.13497029
10661,Cleo Abram,The World Cup's new high tech balls,How is it only capturing data 50x/sec but be precise to millionth of a seccond,1,captur data 50xsec precis millionth seccond,1.0,15,0.267,-0.51795144,0.12594935,-0.09479537
117989,Physics Girl,An Update On Dianna's Health,But the vaccine  wait what didn't work?. Hope she recovers god bless.,1,vaccin wait didnt work hope recov god bless,0.832,13,0.308,0.51329356,0.60081562,-0.04884382
157942,Physics Girl,99 Years Later... We Solved It,It's just what commen sense says eigther wind or water. But the surprise was its the thin ice which is moved by wind which then moves the stones.,1,commen sens say eigther wind water surpris thin ice move wind move stone,1.0,29,0.379,-1.19545859,0.04328619,-0.31318905
292606,Physics Girl,SUNSCREEN in UV,The biggest problem is that sunscreen only lasts so long and if I have to keep applying it over 6 hours I am going for a large container of cheaper lower spf sunscreen.,1,biggest problem sunscreen last long keep appli 6 hour go larg contain cheaper lower spf sunscreen,0.846,33,0.394,-1.47669308,0.25500821,0.09206231
351510,Physics Girl,Can you solve the burning stick riddle? ft Simone Giertz part 3/3,"Considering this video is intended to allow people to take away some knowledge regarding the questions , I must inform you that your understanding of DC vs. Servo motors is incorrect. More accurately, the question is incorrect.  A servo motor can still be a DC motor. The majority of servo motors are in fact DC motors.  The requirement for a DC (or any type) motor to be a servo is some form of feedback to provide positional information. This can be as simple as an encoder, or a resolver , or some other means to tell where the shaft, or something it is connected to is positioned. Either absolutely, or relatively.   A servo motor can be any type of motor. DC brushed, DC brushless, stepper, AC, etc..  The more appropriate question would be ""What is a servo motor"" or ""When does a DC motor become a servo motor"".   Actually, the motor itself never becomes a ""servo"" motor at all.  Its the system as a whole that is a ""servo"" , not the motor.  It is just referred to as such ,as motors with positional feedback are typically used in servo systems , and should be thought of more as ""Motor used in a servo system""",2,consid video intend allow peopl take away knowledg regard question must inform understand dc vs servo motor incorrect accur question incorrect servo motor still dc motor major servo motor fact dc motor requir dc type motor servo form feedback provid posit inform simpl encod resolv mean tell shaft someth connect posit either absolut rel servo motor type motor dc brush dc brushless stepper ac etc appropri question would servo motor dc motor becom servo motor actual motor never becom servo motor system whole servo motor refer motor posit feedback typic use servo system thought motor use servo system,1.0,228,0.447,-1.15803304,0.60177623,0.06028343
195484,Physics Girl,Hydrogen vs. Battery Electric Cars,And to meet the higher demand for electricity we’re going to build more coal electric plants. Green cars yay!!!,1,meet higher demand electr go build coal electr plant green car yay,0.934,21,0.476,-0.48305567,0.01908021,0.12976841
